ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,_year
13468734,JH273709,05/22/2024 6:56:00 AM,011XX N HARDING AVE,2027,NARCOTICS,POSSESS - CRACK,STREET,TRUE,FALSE,1112,11,37,23,18,1149843,1907358,2024,05/17/2025 3:40:52 PM,41.90170425,-87.72505263,"(41.90170425, -87.725052628)",2024
12504063,JE399684,10/06/2021 4:02:00 AM,044XX W MONTROSE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1722,17,39,16,14,1145816,1928872,2021,10/13/2021 3:49:09 PM,41.96081808,-87.73929691,"(41.960818082, -87.739296905)",2021
28126,JH271558,05/20/2024 4:28:00 PM,077XX S THROOP ST,110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,TRUE,FALSE,612,6,17,71,01A,1169227,1853411,2024,01/22/2025 3:41:07 PM,41.75326915,-87.65541663,"(41.753269154, -87.655416625)",2024
13420208,JH214200,04/05/2024 6:59:00 PM,130XX S CHAMPLAIN AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,TRUE,FALSE,533,5,10,54,04A,1183231,1818690,2024,12/21/2024 3:40:46 PM,41.65767605,-87.60517352,"(41.657676054, -87.605173516)",2024
12271002,JE114430,01/16/2021 11:00:00 AM,063XX S EGGLESTON AVE,1822,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,PARKING LOT / GARAGE (NON RESIDENTIAL),TRUE,FALSE,722,7,20,68,18,1174358,1863007,2021,01/23/2021 3:40:36 PM,41.77948922,-87.63632854,"(41.779489218, -87.636328535)",2021
13305988,JG538786,12/12/2023 6:42:00 PM,133XX S CORLISS AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,SIDEWALK,TRUE,FALSE,533,5,10,54,15,1184066,1817351,2023,12/20/2023 3:41:19 PM,41.65398224,-87.60215968,"(41.65398224, -87.602159679)",2023
13061281,JG246410,05/03/2023 12:10:00 PM,048XX W CORTEZ ST,560,ASSAULT,SIMPLE,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,1531,15,37,25,08A,1144003,1906547,2023,08/19/2023 3:40:26 PM,41.8995904,-87.74652425,"(41.899590402, -87.74652425)",2023
13587546,JH416744,09/05/2024 4:25:00 PM,082XX S KENWOOD AVE,850,THEFT,ATTEMPT THEFT,RESIDENCE - PORCH / HALLWAY,FALSE,FALSE,411,4,8,45,6,1186639,1850681,2024,05/17/2025 3:40:52 PM,41.74538356,-87.59169507,"(41.745383561, -87.591695066)",2024
13157843,JG361643,07/30/2023 3:30:00 AM,049XX S WOODLAWN AVE,031A,ROBBERY,ARMED - HANDGUN,SIDEWALK,FALSE,FALSE,222,2,4,39,3,1185069,1872592,2023,08/19/2023 3:40:26 PM,41.80554628,-87.5967601,"(41.805546282, -87.596760102)",2023
13858004,JJ282053,06/05/2025 5:52:00 AM,007XX N MICHIGAN AVE,860,THEFT,RETAIL THEFT,SIDEWALK,TRUE,FALSE,1833,18,2,8,6,1177293,1905627,2025,03/14/2026 3:41:39 PM,41.89637595,-87.6242787,"(41.896375946, -87.6242787)",2025
12962916,JG128513,01/25/2023 1:16:00 AM,015XX S KENNETH AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,FALSE,TRUE,1012,10,24,29,08A,1146972,1892082,2023,08/19/2023 3:40:26 PM,41.85984051,-87.7359888,"(41.859840512, -87.735988797)",2023
13605351,JH436759,09/19/2024 8:25:00 AM,075XX S RIDGELAND AVE,710,THEFT,THEFT FROM MOTOR VEHICLE,STREET,FALSE,FALSE,414,4,8,43,6,1189176,1855402,2024,05/17/2025 3:40:52 PM,41.75827804,-87.58224819,"(41.758278036, -87.582248187)",2024
12470844,JE359115,04/12/2021 11:14:00 AM,029XX W FULTON ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,FALSE,FALSE,1222,12,27,27,11,1156762,1901866,2021,09/04/2021 3:40:08 PM,41.88649627,-87.69978716,"(41.886496266, -87.69978716)",2021
13990096,JJ442261,10/06/2025 2:35:00 AM,006XX N STATE ST,610,BURGLARY,FORCIBLE ENTRY,RESTAURANT,FALSE,FALSE,1832,18,42,8,5,1176258,1904390,2025,03/14/2026 3:41:39 PM,41.89300497,-87.62811736,"(41.893004965, -87.628117361)",2025
12997100,JG165123,02/25/2023 6:00:00 AM,016XX N WOLCOTT AVE,031A,ROBBERY,ARMED - HANDGUN,STREET,FALSE,FALSE,1434,14,32,24,3,1163433,1910872,2023,08/19/2023 3:40:26 PM,41.91107165,-87.67503583,"(41.911071647, -87.675035834)",2023
13737499,JJ135563,02/02/2025 8:29:00 AM,046XX W GLADYS AVE,2027,NARCOTICS,POSSESS - CRACK,SIDEWALK,TRUE,FALSE,1131,11,28,25,18,1145492,1897950,2025,11/02/2025 3:41:09 PM,41.87597117,-87.74127296,"(41.875971165, -87.741272964)",2025
12632474,JF162085,03/03/2022 3:00:00 PM,0000X E 111TH ST,031A,ROBBERY,ARMED - HANDGUN,STREET,FALSE,FALSE,531,5,9,49,3,1178627,1831379,2022,01/03/2023 3:40:27 PM,41.69260209,-87.62163683,"(41.692602093, -87.62163683)",2022
